time_s,time_min,n_alive,n_running,n_tumbling,n_near_substrate,frac_near_substrate,mean_tumble_prob,std_tumble_prob,mean_receptor_activity,mean_methylation,mean_distance_um,median_distance_um,mean_concentration,mean_x_um,mean_y_um,mean_z_um,std_z_um,total_consumption_mol
0.0,0.0,500,500,0,3,0.006,0.0037069662526356922,0.001409116673210362,0.21427355046211588,0.35,959.2816577869411,994.0960644125577,0.0005919435150049479,1009.0770720739353,988.658613197759,1009.721154798283,569.2222568286577,2.988538265800212e-16
10.0,0.16666666666666666,500,490,10,9,0.018,0.2140114529523673,0.22467779144789204,0.31840002435008646,0.6726790556104207,963.5936875949734,1002.6334226922407,0.0004783898483646013,1006.42125718236,987.5012410912848,1012.2100406752166,570.7668562203561,5.750160466097919e-14
20.0,0.3333333333333333,500,481,19,8,0.016,0.3401938801937695,0.20288888550664377,0.3448980114742667,0.6984480333549007,935.0359241043478,957.1522784294882,0.000495580937086835,999.8769092065517,993.6842456444131,1007.1462501843505,559.4752711634479,1.1538493030876654e-13
30.0,0.5,500,475,25,11,0.022,0.34951043862336256,0.18353573394776695,0.34733633409448533,0.7074281338724441,901.5572266674685,920.1183204234353,0.000528976741172591,1000.7341126927367,997.5986175782489,1006.6223545910913,536.5368722667582,1.7346147377263787e-13
40.0,0.6666666666666666,500,484,16,9,0.018,0.3566960032373724,0.16761326241918223,0.3489237454399861,0.7111392847711976,872.1713602841526,882.6339552278125,0.0005192552936579657,1002.3551290067228,993.6877044053915,1006.3761141247869,516.1212892236111,2.3157209305691124e-13
50.0,0.8333333333333334,500,479,21,10,0.02,0.3564393002529522,0.15660232078163813,0.3493941737670472,0.7132606420216754,847.4245219783274,849.3317844296488,0.0005379734112009565,1005.1349097477097,995.5126835229354,1004.4969814761644,504.98700943879453,2.898484002747708e-13
60.0,1.0,500,476,24,10,0.02,0.3524334181026625,0.1587141508520149,0.34835932819040283,0.7151953453665142,824.0301083715964,825.3269442458311,0.0005565297375280989,1013.0108862229563,993.2253936738788,1000.1884171661467,494.60681309905635,3.478728407070217e-13
70.0,1.1666666666666667,500,488,12,10,0.02,0.3559690860530571,0.16160434383528113,0.34920278848767267,0.7172216826402288,804.2009992495135,816.4522106450399,0.0005692805888910619,1011.8288375880369,991.2071992535612,1002.9575084792386,481.2773445495107,4.061505442155677e-13
80.0,1.3333333333333333,500,483,17,14,0.028,0.3512503776632948,0.1590510140495167,0.3482536921732786,0.7210134088653423,782.2613179687643,806.9120596456056,0.0005892454776230797,1003.2056403647326,987.1880747696481,1001.544726112209,471.01940610887556,4.646924455755006e-13
90.0,1.5,500,482,18,15,0.03,0.3632929345055828,0.15002031387538012,0.35032808869597876,0.721792159981132,769.1301372024238,763.4950781969472,0.00059287489799111,998.3873370325962,985.1093632505473,1002.0469037115081,465.3514460162912,5.229949882300247e-13
