time_s,z_low_um,z_high_um,z_mid_um,count
0.0,0.0,100.0,50.0,19
0.0,100.0,200.0,150.0,25
0.0,200.0,300.0,250.0,24
0.0,300.0,400.0,350.0,29
0.0,400.0,500.0,450.0,15
0.0,500.0,600.0,550.0,32
0.0,600.0,700.0,650.0,21
0.0,700.0,800.0,750.0,21
0.0,800.0,900.0,850.0,41
0.0,900.0,1000.0,950.0,29
0.0,1000.0,1100.0,1050.0,27
0.0,1100.0,1200.0,1150.0,20
0.0,1200.0,1300.0,1250.0,20
0.0,1300.0,1400.0,1350.0,24
0.0,1400.0,1500.0,1450.0,34
0.0,1500.0,1600.0,1550.0,15
0.0,1600.0,1700.0,1650.0,27
0.0,1700.0,1800.0,1750.0,30
0.0,1800.0,1900.0,1850.0,17
0.0,1900.0,2000.0,1950.0,30
10.0,0.0,100.0,50.0,28
10.0,100.0,200.0,150.0,27
10.0,200.0,300.0,250.0,22
10.0,300.0,400.0,350.0,19
10.0,400.0,500.0,450.0,18
10.0,500.0,600.0,550.0,21
10.0,600.0,700.0,650.0,21
10.0,700.0,800.0,750.0,33
10.0,800.0,900.0,850.0,28
10.0,900.0,1000.0,950.0,32
10.0,1000.0,1100.0,1050.0,27
10.0,1100.0,1200.0,1150.0,32
10.0,1200.0,1300.0,1250.0,18
10.0,1300.0,1400.0,1350.0,22
10.0,1400.0,1500.0,1450.0,32
10.0,1500.0,1600.0,1550.0,21
10.0,1600.0,1700.0,1650.0,20
10.0,1700.0,1800.0,1750.0,22
10.0,1800.0,1900.0,1850.0,32
10.0,1900.0,2000.0,1950.0,25
20.0,0.0,100.0,50.0,22
20.0,100.0,200.0,150.0,29
20.0,200.0,300.0,250.0,25
20.0,300.0,400.0,350.0,21
20.0,400.0,500.0,450.0,16
20.0,500.0,600.0,550.0,22
20.0,600.0,700.0,650.0,26
20.0,700.0,800.0,750.0,26
20.0,800.0,900.0,850.0,29
20.0,900.0,1000.0,950.0,29
20.0,1000.0,1100.0,1050.0,30
20.0,1100.0,1200.0,1150.0,27
20.0,1200.0,1300.0,1250.0,30
20.0,1300.0,1400.0,1350.0,27
20.0,1400.0,1500.0,1450.0,20
20.0,1500.0,1600.0,1550.0,21
20.0,1600.0,1700.0,1650.0,25
20.0,1700.0,1800.0,1750.0,30
20.0,1800.0,1900.0,1850.0,28
20.0,1900.0,2000.0,1950.0,17
30.0,0.0,100.0,50.0,11
30.0,100.0,200.0,150.0,20
30.0,200.0,300.0,250.0,27
30.0,300.0,400.0,350.0,36
30.0,400.0,500.0,450.0,22
30.0,500.0,600.0,550.0,22
30.0,600.0,700.0,650.0,17
30.0,700.0,800.0,750.0,27
30.0,800.0,900.0,850.0,38
30.0,900.0,1000.0,950.0,35
30.0,1000.0,1100.0,1050.0,21
30.0,1100.0,1200.0,1150.0,33
30.0,1200.0,1300.0,1250.0,22
30.0,1300.0,1400.0,1350.0,30
30.0,1400.0,1500.0,1450.0,24
30.0,1500.0,1600.0,1550.0,21
30.0,1600.0,1700.0,1650.0,31
30.0,1700.0,1800.0,1750.0,27
30.0,1800.0,1900.0,1850.0,23
30.0,1900.0,2000.0,1950.0,13
40.0,0.0,100.0,50.0,8
40.0,100.0,200.0,150.0,17
40.0,200.0,300.0,250.0,26
40.0,300.0,400.0,350.0,23
40.0,400.0,500.0,450.0,32
40.0,500.0,600.0,550.0,27
40.0,600.0,700.0,650.0,22
40.0,700.0,800.0,750.0,35
40.0,800.0,900.0,850.0,26
40.0,900.0,1000.0,950.0,36
40.0,1000.0,1100.0,1050.0,28
40.0,1100.0,1200.0,1150.0,34
40.0,1200.0,1300.0,1250.0,28
40.0,1300.0,1400.0,1350.0,25
40.0,1400.0,1500.0,1450.0,28
40.0,1500.0,1600.0,1550.0,23
40.0,1600.0,1700.0,1650.0,23
40.0,1700.0,1800.0,1750.0,24
40.0,1800.0,1900.0,1850.0,21
40.0,1900.0,2000.0,1950.0,14
50.0,0.0,100.0,50.0,11
50.0,100.0,200.0,150.0,13
50.0,200.0,300.0,250.0,19
50.0,300.0,400.0,350.0,32
50.0,400.0,500.0,450.0,23
50.0,500.0,600.0,550.0,31
50.0,600.0,700.0,650.0,32
50.0,700.0,800.0,750.0,29
50.0,800.0,900.0,850.0,28
50.0,900.0,1000.0,950.0,25
50.0,1000.0,1100.0,1050.0,38
50.0,1100.0,1200.0,1150.0,34
50.0,1200.0,1300.0,1250.0,31
50.0,1300.0,1400.0,1350.0,25
50.0,1400.0,1500.0,1450.0,33
50.0,1500.0,1600.0,1550.0,17
50.0,1600.0,1700.0,1650.0,20
50.0,1700.0,1800.0,1750.0,34
50.0,1800.0,1900.0,1850.0,15
50.0,1900.0,2000.0,1950.0,10
60.0,0.0,100.0,50.0,12
60.0,100.0,200.0,150.0,14
60.0,200.0,300.0,250.0,13
60.0,300.0,400.0,350.0,27
60.0,400.0,500.0,450.0,26
60.0,500.0,600.0,550.0,44
60.0,600.0,700.0,650.0,21
60.0,700.0,800.0,750.0,39
60.0,800.0,900.0,850.0,24
60.0,900.0,1000.0,950.0,22
60.0,1000.0,1100.0,1050.0,32
60.0,1100.0,1200.0,1150.0,41
60.0,1200.0,1300.0,1250.0,32
60.0,1300.0,1400.0,1350.0,25
60.0,1400.0,1500.0,1450.0,33
60.0,1500.0,1600.0,1550.0,22
60.0,1600.0,1700.0,1650.0,28
60.0,1700.0,1800.0,1750.0,25
60.0,1800.0,1900.0,1850.0,14
60.0,1900.0,2000.0,1950.0,6
70.0,0.0,100.0,50.0,8
70.0,100.0,200.0,150.0,15
70.0,200.0,300.0,250.0,11
70.0,300.0,400.0,350.0,24
70.0,400.0,500.0,450.0,28
70.0,500.0,600.0,550.0,35
70.0,600.0,700.0,650.0,44
70.0,700.0,800.0,750.0,28
70.0,800.0,900.0,850.0,20
70.0,900.0,1000.0,950.0,32
70.0,1000.0,1100.0,1050.0,34
70.0,1100.0,1200.0,1150.0,35
70.0,1200.0,1300.0,1250.0,31
70.0,1300.0,1400.0,1350.0,32
70.0,1400.0,1500.0,1450.0,32
70.0,1500.0,1600.0,1550.0,28
70.0,1600.0,1700.0,1650.0,25
70.0,1700.0,1800.0,1750.0,15
70.0,1800.0,1900.0,1850.0,18
70.0,1900.0,2000.0,1950.0,5
80.0,0.0,100.0,50.0,7
80.0,100.0,200.0,150.0,7
80.0,200.0,300.0,250.0,20
80.0,300.0,400.0,350.0,24
80.0,400.0,500.0,450.0,27
80.0,500.0,600.0,550.0,38
80.0,600.0,700.0,650.0,28
80.0,700.0,800.0,750.0,36
80.0,800.0,900.0,850.0,27
80.0,900.0,1000.0,950.0,37
80.0,1000.0,1100.0,1050.0,25
80.0,1100.0,1200.0,1150.0,40
80.0,1200.0,1300.0,1250.0,33
80.0,1300.0,1400.0,1350.0,28
80.0,1400.0,1500.0,1450.0,39
80.0,1500.0,1600.0,1550.0,24
80.0,1600.0,1700.0,1650.0,24
80.0,1700.0,1800.0,1750.0,17
80.0,1800.0,1900.0,1850.0,14
80.0,1900.0,2000.0,1950.0,5
90.0,0.0,100.0,50.0,7
90.0,100.0,200.0,150.0,10
90.0,200.0,300.0,250.0,19
90.0,300.0,400.0,350.0,19
90.0,400.0,500.0,450.0,28
90.0,500.0,600.0,550.0,33
90.0,600.0,700.0,650.0,35
90.0,700.0,800.0,750.0,34
90.0,800.0,900.0,850.0,29
90.0,900.0,1000.0,950.0,33
90.0,1000.0,1100.0,1050.0,39
90.0,1100.0,1200.0,1150.0,29
90.0,1200.0,1300.0,1250.0,29
90.0,1300.0,1400.0,1350.0,39
90.0,1400.0,1500.0,1450.0,34
90.0,1500.0,1600.0,1550.0,27
90.0,1600.0,1700.0,1650.0,19
90.0,1700.0,1800.0,1750.0,20
90.0,1800.0,1900.0,1850.0,13
