time_s,r_inner_um,r_outer_um,r_mid_um,count,shell_volume_um3,density_per_um3
0.0,0.0,50.0,25.000000000000004,1,3665191.4291880922,2.72837045300392e-07
0.0,50.0,100.00000000000001,75.0,0,9948376.73636768,0.0
0.0,100.00000000000001,150.0,125.0,1,19373154.697137043,5.161781938115528e-08
0.0,150.0,200.0,175.0,2,31939525.311496243,6.261833826566371e-08
0.0,200.0,300.0,250.0,10,114144533.08042914,8.760822555517175e-08
0.0,300.0,500.0,399.99999999999994,25,517315590.2911194,4.832639972425971e-08
0.0,500.0,750.0,625.0,87,1447750614.5292964,6.009322263578254e-08
0.0,750.0,1000.0,875.0,165,2704387675.965212,6.101196269544105e-08
10.0,0.0,50.0,25.000000000000004,1,3665191.4291880922,2.72837045300392e-07
10.0,50.0,100.00000000000001,75.0,0,9948376.73636768,0.0
10.0,100.00000000000001,150.0,125.0,1,19373154.697137043,5.161781938115528e-08
10.0,150.0,200.0,175.0,4,31939525.311496243,1.2523667653132742e-07
10.0,200.0,300.0,250.0,8,114144533.08042914,7.008658044413741e-08
10.0,300.0,500.0,399.99999999999994,27,517315590.2911194,5.219251170220049e-08
10.0,500.0,750.0,625.0,87,1447750614.5292964,6.009322263578254e-08
10.0,750.0,1000.0,875.0,169,2704387675.965212,6.249104057896688e-08
20.0,0.0,50.0,25.000000000000004,0,3665191.4291880922,0.0
20.0,50.0,100.00000000000001,75.0,0,9948376.73636768,0.0
20.0,100.00000000000001,150.0,125.0,1,19373154.697137043,5.161781938115528e-08
20.0,150.0,200.0,175.0,5,31939525.311496243,1.565458456641593e-07
20.0,200.0,300.0,250.0,8,114144533.08042914,7.008658044413741e-08
20.0,300.0,500.0,399.99999999999994,34,517315590.2911194,6.57239036249932e-08
20.0,500.0,750.0,625.0,83,1447750614.5292964,5.7330315847930474e-08
20.0,750.0,1000.0,875.0,186,2704387675.965212,6.877712158395172e-08
30.0,0.0,50.0,25.000000000000004,1,3665191.4291880922,2.72837045300392e-07
30.0,50.0,100.00000000000001,75.0,0,9948376.73636768,0.0
30.0,100.00000000000001,150.0,125.0,3,19373154.697137043,1.5485345814346585e-07
30.0,150.0,200.0,175.0,3,31939525.311496243,9.392750739849557e-08
30.0,200.0,300.0,250.0,9,114144533.08042914,7.884740299965458e-08
30.0,300.0,500.0,399.99999999999994,30,517315590.2911194,5.7991679669111646e-08
30.0,500.0,750.0,625.0,120,1447750614.5292964,8.288720363556212e-08
30.0,750.0,1000.0,875.0,176,2704387675.965212,6.507942687513711e-08
40.0,0.0,50.0,25.000000000000004,2,3665191.4291880922,5.45674090600784e-07
40.0,50.0,100.00000000000001,75.0,0,9948376.73636768,0.0
40.0,100.00000000000001,150.0,125.0,2,19373154.697137043,1.0323563876231056e-07
40.0,150.0,200.0,175.0,2,31939525.311496243,6.261833826566371e-08
40.0,200.0,300.0,250.0,7,114144533.08042914,6.132575788862023e-08
40.0,300.0,500.0,399.99999999999994,39,517315590.2911194,7.538918356984514e-08
40.0,500.0,750.0,625.0,122,1447750614.5292964,8.426865702948817e-08
40.0,750.0,1000.0,875.0,182,2704387675.965212,6.729804370042587e-08
50.0,0.0,50.0,25.000000000000004,0,3665191.4291880922,0.0
50.0,50.0,100.00000000000001,75.0,0,9948376.73636768,0.0
50.0,100.00000000000001,150.0,125.0,3,19373154.697137043,1.5485345814346585e-07
50.0,150.0,200.0,175.0,1,31939525.311496243,3.1309169132831856e-08
50.0,200.0,300.0,250.0,10,114144533.08042914,8.760822555517175e-08
50.0,300.0,500.0,399.99999999999994,52,517315590.2911194,1.0051891142646019e-07
50.0,500.0,750.0,625.0,133,1447750614.5292964,9.186665069608135e-08
50.0,750.0,1000.0,875.0,180,2704387675.965212,6.655850475866295e-08
60.0,0.0,50.0,25.000000000000004,0,3665191.4291880922,0.0
60.0,50.0,100.00000000000001,75.0,1,9948376.73636768,1.005189114264602e-07
60.0,100.00000000000001,150.0,125.0,2,19373154.697137043,1.0323563876231056e-07
60.0,150.0,200.0,175.0,6,31939525.311496243,1.8785501479699115e-07
