time_s,time_min,n_alive,n_running,n_tumbling,n_near_substrate,frac_near_substrate,mean_tumble_prob,std_tumble_prob,mean_receptor_activity,mean_methylation,mean_distance_um,median_distance_um,mean_concentration,mean_x_um,mean_y_um,mean_z_um,std_z_um,total_consumption_mol
0.0,0.0,500,493,7,5,0.01,0.35,0.0,0.35,0.35,961.6526847662968,992.6557096615434,0.0005603759050305994,1010.4890568777556,1005.6615394621106,979.392715529318,595.4291285822595,2.9885099072648955e-16
10.0,0.16666666666666666,500,477,23,5,0.01,0.35,0.0,0.35,0.35,962.2840327513346,989.5171608666508,0.0004683830305643958,1006.9149291676513,1008.7705779553502,981.9869261474444,596.7282732381967,5.710995853786931e-14
20.0,0.3333333333333333,500,484,16,7,0.014,0.35,0.0,0.35,0.35,968.6803185631196,993.711941465269,0.00042453516507182624,1005.9907771680556,1010.929583340357,984.1122686045397,600.3580763764382,1.1354036596001351e-13
30.0,0.5,500,472,28,3,0.006,0.35,0.0,0.35,0.35,978.3396094851644,998.1345694319012,0.00037786707624472006,1009.0601694966526,1005.6799395540047,990.7427054789116,596.0764763656646,1.6931112394863585e-13
40.0,0.6666666666666666,500,484,16,2,0.004,0.35,0.0,0.35,0.35,977.2125079222241,996.4003464801067,0.0003605522657933701,1008.8392335547566,1002.6669552555395,994.2900267836874,592.5693383689658,2.2527003760102953e-13
50.0,0.8333333333333334,500,488,12,4,0.008,0.35,0.0,0.35,0.35,974.0131187153382,1004.0881026365932,0.0003611884681632177,1004.6916630312946,999.0304737723011,994.5938879708182,590.2538818428269,2.8107329233929523e-13
60.0,1.0,500,486,14,4,0.008,0.35,0.0,0.35,0.35,981.2667175011973,1004.3306941211147,0.00033497966001920775,1008.0990992499148,997.0189054284667,985.0514138636502,598.8307475421913,3.3652334799137967e-13
70.0,1.1666666666666667,500,475,25,3,0.006,0.35,0.0,0.35,0.35,985.097079772192,1017.0567019743607,0.000313636989450067,1010.677834719724,995.4653356310469,983.6975313339838,599.4179677857678,3.915657419745902e-13
80.0,1.3333333333333333,500,484,16,2,0.004,0.35,0.0,0.35,0.35,985.2647796436843,1015.9521550566403,0.00029820333180116877,1010.1239755510641,994.5430230536756,980.3707409084333,597.6678219429297,4.4697975138956825e-13
90.0,1.5,500,485,15,2,0.004,0.35,0.0,0.35,0.35,978.15665423874,990.7386468194579,0.0003015975726608794,1015.1284076594734,996.200947428213,977.5181340108419,592.5860582751409,5.020215554814744e-13
100.0,1.6666666666666667,500,480,20,6,0.012,0.35,0.0,0.35,0.35,973.0656080775252,991.2960607362661,0.0003046082235293816,1016.6937249664633,989.4624528108994,978.4457815312985,587.815589284416,5.568812209618009e-13
110.0,1.8333333333333333,500,484,16,5,0.01,0.35,0.0,0.35,0.35,977.7503464822124,995.8887149789388,0.0002808396048550231,1012.2781411662303,983.8840499703084,980.6570844881315,580.0433304284456,6.112350082867082e-13
120.0,2.0,500,484,16,3,0.006,0.35,0.0,0.35,0.35,981.700220343878,1007.3987212664344,0.0002620707369527835,1008.6690595322789,979.369927757288,985.462837750733,578.5346038815139,6.655503407827183e-13
130.0,2.1666666666666665,500,481,19,5,0.01,0.35,0.0,0.35,0.35,978.3542694874772,1010.5744028721826,0.00026112851387947083,1006.1406378744234,971.4250451661364,986.9007434595101,576.7812483346187,7.199619365679818e-13
140.0,2.3333333333333335,500,485,15,3,0.006,0.35,0.0,0.35,0.35,976.3197860353401,1006.1325637260954,0.000252769587957189,1011.43786689606,975.8340643498536,995.0876714220556,580.8923857375288,7.743262806205394e-13
150.0,2.5,500,473,27,2,0.004,0.35,0.0,0.35,0.35,977.3178387033423,1012.9519391620996,0.00024053285377114567,1012.9227973910324,978.98953657977,1001.5882856582176,580.4433277072449,8.289287218554168e-13
160.0,2.6666666666666665,500,476,24,6,0.012,0.35,0.0,0.35,0.35,986.5668565311981,1009.3340595410347,0.00023181230605102209,1011.3870265253083,977.8913526675384,1004.3887627689784,585.1246632688598,8.834474574018128e-13
170.0,2.8333333333333335,500,488,12,2,0.004,0.35,0.0,0.35,0.35,982.7354606296509,1004.7701719897652,0.00021780001569905142,1002.7051310521722,971.9754084669452,1003.8229387665494,583.1438540225989,9.375325930909305e-13
180.0,3.0,500,484,16,4,0.008,0.35,0.0,0.35,0.35,982.2049664509414,1008.6656845663991,0.00021332119081560614,1007.8312613160834,965.729978016772,1006.7715367205303,589.8437225677795,9.915144869761387e-13
190.0,3.1666666666666665,500,485,15,4,0.008,0.35,0.0,0.35,0.35,987.9391936270774,1019.1792053422305,0.00020561825307310302,1015.2354125275153,964.3205817793064,1009.7033018130577,593.589676883596,1.0450156064369135e-12
200.0,3.3333333333333335,500,484,16,2,0.004,0.35,0.0,0.35,0.35,988.8122421983219,1024.2047956672052,0.000204883365917513,1015.5602591338351,970.6204271194109,1006.4412991889154,589.0272334188212,1.098085800348699e-12
210.0,3.5,500,488,12,1,0.002,0.35,0.0,0.35,0.35,989.4758208817708,1018.8905052296777,0.00019751030182634622,1016.0478650402193,968.5180984736654,1003.7078772626721,588.0995408662337,1.1512486264233637e-12
220.0,3.6666666666666665,500,489,11,0,0.0,0.35,0.0,0.35,0.35,983.9455401865914,1019.7273536498406,0.00019296379509524324,1016.8601457368875,965.6006013789797,1004.4134855853989,581.410028831005,1.2045234079039316e-12
230.0,3.8333333333333335,500,485,15,4,0.008,0.35,0.0,0.35,0.35,980.5463899025505,1008.895904682847,0.00020125866750600463,1024.9915977866972,970.1033790974438,1007.015564020941,582.3658759973024,1.257667940944316e-12
240.0,4.0,500,483,17,3,0.006,0.35,0.0,0.35,0.35,975.0306102614118,993.9079695268404,0.00019843458884995276,1032.9558876270366,967.5115702482178,1010.6466745671289,575.157298125884,1.311122962199528e-12
250.0,4.166666666666667,500,486,14,4,0.008,0.35,0.0,0.35,0.35,974.376849573884,1004.584228508465,0.00021242542108534173,1034.5129473314228,968.7951102508831,1010.1104107554182,570.5405622832396,1.3647603437278559e-12
260.0,4.333333333333333,500,486,14,2,0.004,0.35,0.0,0.35,0.35,974.7192075229481,989.2395720932598,0.00018632526202136428,1030.2484348976145,974.3828513044552,1009.9899632941542,569.7670129019241,1.4177515756494585e-12
270.0,4.5,500,484,16,4,0.008,0.35,0.0,0.35,0.35,972.5955249761143,998.6227451897253,0.0001869915320893133,1032.1139347893718,978.9841677553019,1009.2843821843849,571.446933054518,1.4711252153892319e-12
280.0,4.666666666666667,500,483,17,3,0.006,0.35,0.0,0.35,0.35,976.5085456462158,1001.381176328931,0.00017959461012203621,1033.6673771055268,974.7985304239731,1012.69139294258,570.6940844552731,1.5243697104459037e-12
290.0,4.833333333333333,500,487,13,5,0.01,0.35,0.0,0.35,0.35,968.3036267442386,991.7603682052059,0.0001798067611908858,1039.3326715651945,978.8950781833477,1016.2576146587692,562.8596808507274,1.5779463280918053e-12
300.0,5.0,500,484,16,3,0.006,0.35,0.0,0.35,0.35,957.8466022194143,986.7865633691529,0.0001863877506087806,1039.491929159675,984.3878205734936,1015.2315398364718,559.1208865869603,1.6315652064668057e-12
310.0,5.166666666666667,500,479,21,4,0.008,0.35,0.0,0.35,0.35,964.5427500544774,985.4048551027907,0.00017584484613081746,1031.0824815249653,984.2222869423068,1012.2255959462996,559.2737000106225,1.6854883110700234e-12
320.0,5.333333333333333,500,487,13,4,0.008,0.35,0.0,0.35,0.35,976.4077184624218,988.863092456522,0.00016857598668384893,1027.5011036022127,980.7337514132382,1012.3869190140848,570.0055302885854,1.7383783364015913e-12
330.0,5.5,500,482,18,4,0.008,0.35,0.0,0.35,0.35,980.1169898896892,1001.9439800220503,0.00017009991089289895,1033.0208155782911,968.9652819971367,1018.1592283575902,567.7218870274069,1.7908207964999138e-12
340.0,5.666666666666667,500,484,16,6,0.012,0.35,0.0,0.35,0.35,978.0502154035854,1011.0416305540012,0.00017323056590893006,1032.7321721695553,964.68086528585,1022.1433509347581,566.7927260028513,1.843875903734562e-12
350.0,5.833333333333333,500,480,20,5,0.01,0.35,0.0,0.35,0.35,972.6421746012321,1003.7250934137135,0.00017730456818494837,1037.802332507145,964.3695382997679,1029.0490984507526,568.3513493252365,1.8960400443323415e-12
360.0,6.0,500,480,20,5,0.01,0.35,0.0,0.35,0.35,961.7833723971831,978.2081063068955,0.00016886605972952538,1035.7916098536432,960.7857987663969,1040.3418073939047,559.3762169525941,1.9486613066616658e-12
370.0,6.166666666666667,500,484,16,0,0.0,0.35,0.0,0.35,0.35,950.2280165165082,965.0430482322422,0.00016626342925639764,1041.1092548882684,961.1910049598162,1040.0453518410698,554.743673605977,2.0015541916703693e-12
380.0,6.333333333333333,500,483,17,3,0.006,0.35,0.0,0.35,0.35,942.8162707867122,965.2099843840992,0.0001703942874571404,1037.8793074860016,964.0580248401508,1035.4654834986093,553.0463824203725,2.054633531452503e-12
390.0,6.5,500,481,19,4,0.008,0.35,0.0,0.35,0.35,941.4446548300218,961.6991466778909,0.00018108848259708947,1040.5506382212138,962.1470957413776,1036.3857071095056,549.4173356163612,2.107964035538506e-12
400.0,6.666666666666667,500,478,22,2,0.004,0.35,0.0,0.35,0.35,943.128305197697,964.1538542355158,0.0001699075181792441,1035.807144442305,956.7012877522542,1034.386870959969,553.62642891803,2.161241293765978e-12
410.0,6.833333333333333,500,485,15,5,0.01,0.35,0.0,0.35,0.35,941.0197470064792,960.8431684674125,0.00017436660983260584,1030.8911095763103,950.8017243850268,1034.591056797932,555.4609723388146,2.214321329867988e-12
420.0,7.0,500,483,17,6,0.012,0.35,0.0,0.35,0.35,941.2900576400732,956.8359474260359,0.00017475737794614147,1024.796976004044,953.6874622706399,1036.1712224279884,563.3226360167524,2.2675874445674778e-12
430.0,7.166666666666667,500,489,11,8,0.016,0.35,0.0,0.35,0.35,941.8573665680101,970.1313262599493,0.00018147785057276973,1019.0564806135961,962.420603390766,1034.7686410634083,568.1732164196255,2.3208933265284118e-12
