time_s,z_low_um,z_high_um,z_mid_um,count
0.0,0.0,100.0,50.0,31
0.0,100.0,200.0,150.0,30
0.0,200.0,300.0,250.0,28
0.0,300.0,400.0,350.0,23
0.0,400.0,500.0,450.0,24
0.0,500.0,600.0,550.0,27
0.0,600.0,700.0,650.0,25
0.0,700.0,800.0,750.0,19
0.0,800.0,900.0,850.0,17
0.0,900.0,1000.0,950.0,30
0.0,1000.0,1100.0,1050.0,27
0.0,1100.0,1200.0,1150.0,25
0.0,1200.0,1300.0,1250.0,29
0.0,1300.0,1400.0,1350.0,21
0.0,1400.0,1500.0,1450.0,19
0.0,1500.0,1600.0,1550.0,24
0.0,1600.0,1700.0,1650.0,22
0.0,1700.0,1800.0,1750.0,18
0.0,1800.0,1900.0,1850.0,29
0.0,1900.0,2000.0,1950.0,32
10.0,0.0,100.0,50.0,31
10.0,100.0,200.0,150.0,32
10.0,200.0,300.0,250.0,29
10.0,300.0,400.0,350.0,19
10.0,400.0,500.0,450.0,27
10.0,500.0,600.0,550.0,25
10.0,600.0,700.0,650.0,20
10.0,700.0,800.0,750.0,20
10.0,800.0,900.0,850.0,26
10.0,900.0,1000.0,950.0,29
10.0,1000.0,1100.0,1050.0,20
10.0,1100.0,1200.0,1150.0,33
10.0,1200.0,1300.0,1250.0,27
10.0,1300.0,1400.0,1350.0,19
10.0,1400.0,1500.0,1450.0,17
10.0,1500.0,1600.0,1550.0,26
10.0,1600.0,1700.0,1650.0,17
10.0,1700.0,1800.0,1750.0,23
10.0,1800.0,1900.0,1850.0,22
10.0,1900.0,2000.0,1950.0,38
20.0,0.0,100.0,50.0,30
20.0,100.0,200.0,150.0,27
20.0,200.0,300.0,250.0,29
20.0,300.0,400.0,350.0,28
20.0,400.0,500.0,450.0,26
20.0,500.0,600.0,550.0,24
20.0,600.0,700.0,650.0,20
20.0,700.0,800.0,750.0,25
20.0,800.0,900.0,850.0,17
20.0,900.0,1000.0,950.0,23
20.0,1000.0,1100.0,1050.0,25
20.0,1100.0,1200.0,1150.0,37
20.0,1200.0,1300.0,1250.0,25
20.0,1300.0,1400.0,1350.0,20
20.0,1400.0,1500.0,1450.0,15
20.0,1500.0,1600.0,1550.0,26
20.0,1600.0,1700.0,1650.0,18
20.0,1700.0,1800.0,1750.0,23
20.0,1800.0,1900.0,1850.0,30
20.0,1900.0,2000.0,1950.0,32
30.0,0.0,100.0,50.0,24
30.0,100.0,200.0,150.0,39
30.0,200.0,300.0,250.0,25
30.0,300.0,400.0,350.0,20
30.0,400.0,500.0,450.0,22
