time_s,r_inner_um,r_outer_um,r_mid_um,count,shell_volume_um3,density_per_um3
0.0,0.0,50.0,25.000000000000004,1,3665191.4291880922,2.72837045300392e-07
0.0,50.0,100.00000000000001,75.0,0,9948376.73636768,0.0
0.0,100.00000000000001,150.0,125.0,3,19373154.697137043,1.5485345814346585e-07
0.0,150.0,200.0,175.0,0,31939525.311496243,0.0
0.0,200.0,300.0,250.0,13,114144533.08042914,1.1389069322172328e-07
0.0,300.0,500.0,399.99999999999994,33,517315590.2911194,6.379084763602282e-08
0.0,500.0,750.0,625.0,78,1447750614.5292964,5.3876682363115386e-08
0.0,750.0,1000.0,875.0,184,2704387675.965212,6.80375826421888e-08
10.0,0.0,50.0,25.000000000000004,0,3665191.4291880922,0.0
10.0,50.0,100.00000000000001,75.0,0,9948376.73636768,0.0
10.0,100.00000000000001,150.0,125.0,0,19373154.697137043,0.0
10.0,150.0,200.0,175.0,5,31939525.311496243,1.565458456641593e-07
10.0,200.0,300.0,250.0,7,114144533.08042914,6.132575788862023e-08
10.0,300.0,500.0,399.99999999999994,33,517315590.2911194,6.379084763602282e-08
10.0,500.0,750.0,625.0,90,1447750614.5292964,6.21654027266716e-08
10.0,750.0,1000.0,875.0,179,2704387675.965212,6.61887352877815e-08
20.0,0.0,50.0,25.000000000000004,0,3665191.4291880922,0.0
20.0,50.0,100.00000000000001,75.0,1,9948376.73636768,1.005189114264602e-07
20.0,100.00000000000001,150.0,125.0,1,19373154.697137043,5.161781938115528e-08
20.0,150.0,200.0,175.0,2,31939525.311496243,6.261833826566371e-08
20.0,200.0,300.0,250.0,6,114144533.08042914,5.2564935333103055e-08
20.0,300.0,500.0,399.99999999999994,34,517315590.2911194,6.57239036249932e-08
20.0,500.0,750.0,625.0,85,1447750614.5292964,5.8711769241856506e-08
20.0,750.0,1000.0,875.0,182,2704387675.965212,6.729804370042587e-08
30.0,0.0,50.0,25.000000000000004,0,3665191.4291880922,0.0
30.0,50.0,100.00000000000001,75.0,1,9948376.73636768,1.005189114264602e-07
30.0,100.00000000000001,150.0,125.0,2,19373154.697137043,1.0323563876231056e-07
30.0,150.0,200.0,175.0,1,31939525.311496243,3.1309169132831856e-08
30.0,200.0,300.0,250.0,2,114144533.08042914,1.7521645111034352e-08
30.0,300.0,500.0,399.99999999999994,33,517315590.2911194,6.379084763602282e-08
30.0,500.0,750.0,625.0,97,1447750614.5292964,6.700048960541271e-08
30.0,750.0,1000.0,875.0,181,2704387675.965212,6.692827422954441e-08
40.0,0.0,50.0,25.000000000000004,0,3665191.4291880922,0.0
40.0,50.0,100.00000000000001,75.0,0,9948376.73636768,0.0
40.0,100.00000000000001,150.0,125.0,1,19373154.697137043,5.161781938115528e-08
40.0,150.0,200.0,175.0,0,31939525.311496243,0.0
40.0,200.0,300.0,250.0,5,114144533.08042914,4.3804112777585876e-08
40.0,300.0,500.0,399.99999999999994,34,517315590.2911194,6.57239036249932e-08
40.0,500.0,750.0,625.0,100,1447750614.5292964,6.907266969630177e-08
40.0,750.0,1000.0,875.0,174,2704387675.965212,6.433988793337418e-08
50.0,0.0,50.0,25.000000000000004,0,3665191.4291880922,0.0
50.0,50.0,100.00000000000001,75.0,0,9948376.73636768,0.0
50.0,100.00000000000001,150.0,125.0,0,19373154.697137043,0.0
50.0,150.0,200.0,175.0,1,31939525.311496243,3.1309169132831856e-08
50.0,200.0,300.0,250.0,9,114144533.08042914,7.884740299965458e-08
50.0,300.0,500.0,399.99999999999994,28,517315590.2911194,5.412556769117087e-08
50.0,500.0,750.0,625.0,99,1447750614.5292964,6.838194299933876e-08
50.0,750.0,1000.0,875.0,172,2704387675.965212,6.360034899161127e-08
60.0,0.0,50.0,25.000000000000004,0,3665191.4291880922,0.0
60.0,50.0,100.00000000000001,75.0,1,9948376.73636768,1.005189114264602e-07
60.0,100.00000000000001,150.0,125.0,0,19373154.697137043,0.0
60.0,150.0,200.0,175.0,1,31939525.311496243,3.1309169132831856e-08
60.0,200.0,300.0,250.0,5,114144533.08042914,4.3804112777585876e-08
