time_s,r_inner_um,r_outer_um,r_mid_um,count,shell_volume_um3,density_per_um3
0.0,0.0,50.0,25.000000000000004,0,3665191.4291880922,0.0
0.0,50.0,100.00000000000001,75.0,0,9948376.73636768,0.0
0.0,100.00000000000001,150.0,125.0,4,19373154.697137043,2.0647127752462113e-07
0.0,150.0,200.0,175.0,0,31939525.311496243,0.0
0.0,200.0,300.0,250.0,8,114144533.08042914,7.008658044413741e-08
0.0,300.0,500.0,399.99999999999994,27,517315590.2911194,5.219251170220049e-08
0.0,500.0,750.0,625.0,79,1447750614.5292964,5.45674090600784e-08
0.0,750.0,1000.0,875.0,156,2704387675.965212,5.768403745750789e-08
10.0,0.0,50.0,25.000000000000004,0,3665191.4291880922,0.0
10.0,50.0,100.00000000000001,75.0,3,9948376.73636768,3.015567342793806e-07
10.0,100.00000000000001,150.0,125.0,0,19373154.697137043,0.0
10.0,150.0,200.0,175.0,1,31939525.311496243,3.1309169132831856e-08
10.0,200.0,300.0,250.0,8,114144533.08042914,7.008658044413741e-08
10.0,300.0,500.0,399.99999999999994,34,517315590.2911194,6.57239036249932e-08
10.0,500.0,750.0,625.0,74,1447750614.5292964,5.1113775575263314e-08
10.0,750.0,1000.0,875.0,160,2704387675.965212,5.9163115341033734e-08
20.0,0.0,50.0,25.000000000000004,0,3665191.4291880922,0.0
20.0,50.0,100.00000000000001,75.0,0,9948376.73636768,0.0
20.0,100.00000000000001,150.0,125.0,2,19373154.697137043,1.0323563876231056e-07
20.0,150.0,200.0,175.0,1,31939525.311496243,3.1309169132831856e-08
20.0,200.0,300.0,250.0,9,114144533.08042914,7.884740299965458e-08
20.0,300.0,500.0,399.99999999999994,35,517315590.2911194,6.765695961396359e-08
20.0,500.0,750.0,625.0,92,1447750614.5292964,6.354685612059763e-08
20.0,750.0,1000.0,875.0,166,2704387675.965212,6.13817321663225e-08
30.0,0.0,50.0,25.000000000000004,0,3665191.4291880922,0.0
30.0,50.0,100.00000000000001,75.0,0,9948376.73636768,0.0
30.0,100.00000000000001,150.0,125.0,1,19373154.697137043,5.161781938115528e-08
30.0,150.0,200.0,175.0,1,31939525.311496243,3.1309169132831856e-08
30.0,200.0,300.0,250.0,8,114144533.08042914,7.008658044413741e-08
30.0,300.0,500.0,399.99999999999994,38,517315590.2911194,7.345612758087475e-08
30.0,500.0,750.0,625.0,101,1447750614.5292964,6.976339639326479e-08
30.0,750.0,1000.0,875.0,167,2704387675.965212,6.175150163720396e-08
40.0,0.0,50.0,25.000000000000004,0,3665191.4291880922,0.0
40.0,50.0,100.00000000000001,75.0,1,9948376.73636768,1.005189114264602e-07
40.0,100.00000000000001,150.0,125.0,1,19373154.697137043,5.161781938115528e-08
40.0,150.0,200.0,175.0,2,31939525.311496243,6.261833826566371e-08
40.0,200.0,300.0,250.0,7,114144533.08042914,6.132575788862023e-08
40.0,300.0,500.0,399.99999999999994,33,517315590.2911194,6.379084763602282e-08
40.0,500.0,750.0,625.0,120,1447750614.5292964,8.288720363556212e-08
40.0,750.0,1000.0,875.0,164,2704387675.965212,6.064219322455958e-08
50.0,0.0,50.0,25.000000000000004,0,3665191.4291880922,0.0
50.0,50.0,100.00000000000001,75.0,2,9948376.73636768,2.010378228529204e-07
50.0,100.00000000000001,150.0,125.0,0,19373154.697137043,0.0
50.0,150.0,200.0,175.0,1,31939525.311496243,3.1309169132831856e-08
50.0,200.0,300.0,250.0,7,114144533.08042914,6.132575788862023e-08
50.0,300.0,500.0,399.99999999999994,42,517315590.2911194,8.118835153675631e-08
50.0,500.0,750.0,625.0,126,1447750614.5292964,8.703156381734023e-08
50.0,750.0,1000.0,875.0,144,2704387675.965212,5.3246803806930365e-08
60.0,0.0,50.0,25.000000000000004,0,3665191.4291880922,0.0
60.0,50.0,100.00000000000001,75.0,2,9948376.73636768,2.010378228529204e-07
60.0,100.00000000000001,150.0,125.0,2,19373154.697137043,1.0323563876231056e-07
60.0,150.0,200.0,175.0,2,31939525.311496243,6.261833826566371e-08
60.0,200.0,300.0,250.0,5,114144533.08042914,4.3804112777585876e-08
60.0,300.0,500.0,399.99999999999994,55,517315590.2911194,1.0631807939337136e-07
60.0,500.0,750.0,625.0,125,1447750614.5292964,8.634083712037722e-08
60.0,750.0,1000.0,875.0,139,2704387675.965212,5.139795645252306e-08
70.0,0.0,50.0,25.000000000000004,2,3665191.4291880922,5.45674090600784e-07
70.0,50.0,100.00000000000001,75.0,2,9948376.73636768,2.010378228529204e-07
70.0,100.00000000000001,150.0,125.0,1,19373154.697137043,5.161781938115528e-08
70.0,150.0,200.0,175.0,3,31939525.311496243,9.392750739849557e-08
70.0,200.0,300.0,250.0,9,114144533.08042914,7.884740299965458e-08
70.0,300.0,500.0,399.99999999999994,48,517315590.2911194,9.278668747057864e-08
70.0,500.0,750.0,625.0,124,1447750614.5292964,8.56501104234142e-08
70.0,750.0,1000.0,875.0,158,2704387675.965212,5.8423576399270815e-08
80.0,0.0,50.0,25.000000000000004,0,3665191.4291880922,0.0
80.0,50.0,100.00000000000001,75.0,2,9948376.73636768,2.010378228529204e-07
80.0,100.00000000000001,150.0,125.0,5,19373154.697137043,2.5808909690577644e-07
80.0,150.0,200.0,175.0,1,31939525.311496243,3.1309169132831856e-08
80.0,200.0,300.0,250.0,15,114144533.08042914,1.3141233833275763e-07
80.0,300.0,500.0,399.99999999999994,52,517315590.2911194,1.0051891142646019e-07
80.0,500.0,750.0,625.0,126,1447750614.5292964,8.703156381734023e-08
80.0,750.0,1000.0,875.0,156,2704387675.965212,5.768403745750789e-08
90.0,0.0,50.0,25.000000000000004,1,3665191.4291880922,2.72837045300392e-07
90.0,50.0,100.00000000000001,75.0,0,9948376.73636768,0.0
90.0,100.00000000000001,150.0,125.0,3,19373154.697137043,1.5485345814346585e-07
90.0,150.0,200.0,175.0,2,31939525.311496243,6.261833826566371e-08
90.0,200.0,300.0,250.0,16,114144533.08042914,1.4017316088827481e-07
90.0,300.0,500.0,399.99999999999994,50,517315590.2911194,9.665279944851941e-08
90.0,500.0,750.0,625.0,137,1447750614.5292964,9.462955748393343e-08
90.0,750.0,1000.0,875.0,152,2704387675.965212,5.620495957398205e-08
100.0,0.0,50.0,25.000000000000004,0,3665191.4291880922,0.0
100.0,50.0,100.00000000000001,75.0,3,9948376.73636768,3.015567342793806e-07
100.0,100.00000000000001,150.0,125.0,4,19373154.697137043,2.0647127752462113e-07
100.0,150.0,200.0,175.0,6,31939525.311496243,1.8785501479699115e-07
100.0,200.0,300.0,250.0,13,114144533.08042914,1.1389069322172328e-07
100.0,300.0,500.0,399.99999999999994,54,517315590.2911194,1.0438502340440097e-07
100.0,500.0,750.0,625.0,130,1447750614.5292964,8.979447060519231e-08
100.0,750.0,1000.0,875.0,159,2704387675.965212,5.879334587015228e-08
110.0,0.0,50.0,25.000000000000004,0,3665191.4291880922,0.0
