time_s,time_min,n_alive,n_running,n_tumbling,n_near_substrate,frac_near_substrate,mean_tumble_prob,std_tumble_prob,mean_receptor_activity,mean_methylation,mean_distance_um,median_distance_um,mean_concentration,mean_x_um,mean_y_um,mean_z_um,std_z_um,total_consumption_mol
0.0,0.0,500,496,4,4,0.008,0.05280533671144157,0.02031131989088612,0.27812955684422175,0.35,989.0786423725406,1018.9993531501602,0.0005503976977709265,1020.7228561839809,985.0760504498077,977.5506243564905,596.7043564372834,2.9881837460674573e-16
10.0,0.16666666666666666,500,485,15,4,0.008,0.29261681959628744,0.13978355545764176,0.33905748806562586,0.48289433681022165,973.7402449296497,1009.6131112154022,0.0004710671245116026,1019.8065534808914,983.7813289227053,979.0335858533305,590.1193885625601,5.774089744932955e-14
20.0,0.3333333333333333,500,483,17,3,0.006,0.35932420821207933,0.11565436690915311,0.3506663994080667,0.4903174660542554,953.5342656454804,975.897612604307,0.0004525595852501952,1024.3636587279502,979.9714922602994,977.1476062785757,575.9152548572018,1.148466265084153e-13
30.0,0.5,500,480,20,2,0.004,0.3612885982298904,0.10685278292684466,0.3509970369347104,0.48691205247938546,941.9639956919461,965.3724193133047,0.00043767216712550116,1025.3066728532547,977.1010270353004,977.1086765726499,570.1096910412477,1.7153567837736486e-13
40.0,0.6666666666666666,500,490,10,4,0.008,0.3566614230402231,0.10206379017470715,0.3503244628617673,0.48481595956294155,925.9987926870422,945.9416570936148,0.00043801905143445895,1022.8803373694739,978.9318617744386,971.8986279319302,566.550661524952,2.2873479503587384e-13
50.0,0.8333333333333334,500,475,25,3,0.006,0.35957124611623215,0.09716188598237975,0.35071247265737465,0.48329857507360746,917.1838910287312,918.4385818802859,0.0004470446404199352,1020.5787566502011,978.1639412015018,978.46086711817,567.3589461030389,2.8582772434449885e-13
60.0,1.0,500,476,24,6,0.012,0.35425073448463856,0.09689676759735105,0.3500413595726273,0.4818238640968294,900.4608167165565,934.049861552625,0.00043544226279392873,1024.8585584076266,982.2771717636274,988.4679986298164,556.6722741643936,3.425393710364159e-13
70.0,1.1666666666666667,500,479,21,8,0.016,0.3532639015611378,0.10006590553643685,0.349796681438452,0.48330703838662226,884.572429913068,902.0721263970429,0.00045855568438203567,1016.6689260770148,985.0698133166335,986.7404971522509,540.3554458928388,3.9928138472103774e-13
80.0,1.3333333333333333,500,478,22,8,0.016,0.35433651889450396,0.09635574441181308,0.34995998455108057,0.48401633412998535,873.4633399231917,867.6309966764501,0.00045367401240947546,1001.2970037239443,978.1790540909174,989.7175961959448,538.0964479004783,4.564917704354452e-13
90.0,1.5,500,476,24,6,0.012,0.35920536197898206,0.10042406482592248,0.35077043869361246,0.48377901989545774,863.520550435533,863.6365942760231,0.00045805390448385976,1000.0319032639575,983.1849525840192,990.1310082858234,536.0524917579228,5.133796979526629e-13
100.0,1.6666666666666667,500,488,12,13,0.026,0.3535200054291896,0.09399984665638707,0.3499416054810937,0.4831142414447668,851.6055985193565,856.8036791666931,0.00045469085331909263,996.9614410589886,980.453293474165,987.0364037334411,522.2312677748943,5.702500808508327e-13
110.0,1.8333333333333333,500,484,16,8,0.016,0.35578886611955274,0.09672631017484817,0.3502433155498201,0.4832539764283421,840.2695434877435,858.2533437682544,0.00044882540116114513,997.2844940769775,977.6718331041415,979.6320609571198,516.6661815867029,6.271400992328614e-13
120.0,2.0,500,483,17,18,0.036,0.3533384868099966,0.0969331413131764,0.349748370182884,0.4844228590938638,829.2531989900316,857.6559518218055,0.00047728051258587117,1001.5667898213953,975.4941357129941,974.991102217243,514.5322929797447,6.845660760798903e-13
130.0,2.1666666666666665,500,482,18,19,0.038,0.3543015975992071,0.09580626556671855,0.3499821227023563,0.48426945146650635,826.32880636665,848.4327419693802,0.0004916739515582443,998.2662893183798,977.0044312176873,976.1104256849856,518.0019927450641,7.41676853760533e-13
140.0,2.3333333333333335,500,482,18,21,0.042,0.3564960430204866,0.10271132399720916,0.3502346433269741,0.48415661697000795,820.5684104307719,837.5709750817834,0.00048760989422469046,995.5873658663589,976.0814983831922,980.678456357619,522.9146508739,7.981814730898742e-13
150.0,2.5,500,481,19,23,0.046,0.35393559307236633,0.10101602388369683,0.34985814368358764,0.4849982989704778,808.9344709231452,833.1004040694421,0.0005031553261096588,993.9659814745543,971.30864676722,989.95470870192,511.9071002178529,8.550631607222772e-13
160.0,2.6666666666666665,500,487,13,28,0.056,0.35255131450384447,0.10402946798673589,0.3493616025512555,0.4858768516420746,800.9028583828061,828.4228285681303,0.0005235769110837813,990.0529652092607,967.603367123717,997.0085877238938,503.87021434529595,9.123577553739904e-13
170.0,2.8333333333333335,500,481,19,33,0.066,0.35790269646771455,0.10092335710254052,0.35040158484489575,0.4862026249976418,796.4000721656411,802.4160257603147,0.0005253364410227821,988.6251948188988,975.6504754477949,999.2717667741446,500.2638442903524,9.691045646059047e-13
180.0,3.0,500,489,11,19,0.038,0.3563028364930321,0.09864180112267174,0.3503007413700887,0.48562463288700486,788.8366967017828,818.9883524624892,0.0005172421744553777,990.734227338656,980.9788093828525,996.5470541643483,497.5640244038584,1.0263575673852143e-12
190.0,3.1666666666666665,500,488,12,21,0.042,0.3616240051415521,0.10269589765175301,0.3510114501817144,0.48436442930091206,788.8002004626081,796.269130358497,0.00048816606714922244,991.0871878012425,979.4574021764571,996.8610808667665,500.54113897865767,1.0829519927549505e-12
200.0,3.3333333333333335,500,488,12,31,0.062,0.35357431102159803,0.09854428221801913,0.3497782981443138,0.48317063770720936,785.4257425102061,797.5215177819845,0.0004997364200054015,996.4630422978421,975.4320200318263,990.8331860771383,498.9365944065555,1.1392776873870125e-12
210.0,3.5,500,486,14,35,0.07,0.3560761347266748,0.10530998831168065,0.35000542992416267,0.4844766219602943,777.8953918830039,787.6458859059335,0.0005205844613428931,993.0806366768253,971.9541477972917,982.3185757399812,492.05911137091965,1.195295937965083e-12
220.0,3.6666666666666665,500,481,19,34,0.068,0.3535460450282027,0.10073442785815329,0.34939180338400805,0.48519335819847426,770.7599851865419,787.1771427961244,0.000557326437775729,987.8771384514691,970.1238883925993,983.7673514530826,487.7759944216823,1.2516537141440608e-12
230.0,3.8333333333333335,500,484,16,31,0.062,0.3599798309683255,0.11141091360155993,0.350634103132189,0.485810603239675,763.8212140982301,770.5234529480541,0.0005152242612306528,988.6056764045626,966.2731712897213,984.1939224388074,476.83181394813573,1.3082613238189164e-12
240.0,4.0,500,478,22,36,0.072,0.35543190937359187,0.1058268681201151,0.3497780833835084,0.4860695681382574,758.2795703540586,774.8411279524835,0.0005318674556931866,997.8378262090175,960.9031246629451,988.6008216620032,470.9398743209031,1.3648105378483572e-12
